null
null
null
null
null
null
null
null
null
null
X:0,77 | Y:8,89 | Z:4,45 | T:28,00
X:0,46 | Y:9,04 | Z:4,45 | T:28,00
X:0,61 | Y:9,04 | Z:4,45 | T:28,00
X:0,61 | Y:9,04 | Z:4,45 | T:28,00
X:0,61 | Y:9,04 | Z:4,45 | T:28,00
X:0,61 | Y:9,04 | Z:4,45 | T:28,00
X:0,61 | Y:9,04 | Z:4,45 | T:28,00
X:0,61 | Y:9,04 | Z:4,45 | T:28,00

X:0,61 | Y:9,04 | Z:4,45 | T:28,00
X:0,61 | Y:9,04 | Z:4,45 | T:28,00
X:0,61 | Y:9,04 | Z:4,45 | T:28,00
X:0,61 | Y:9,04 | Z:4,45 | T:28,00
X:0,61 | Y:9,04 | Z:4,45 | T:28,00
X:0,61 | Y:9,04 | Z:4,45 | T:28,00
X:0,61 | Y:9,04 | Z:4,45 | T:28,00
X:0,61 | Y:9,04 | Z:4,45 | T:28,00
X:0,61 | Y:9,04 | Z:4,45 | T:29,00
X:0,61 | Y:9,04 | Z:4,45 | T:29,00
X:0,77 | Y:8,89 | Z:4,45 | T:29,00
X:0,77 | Y:8,89 | Z:4,45 | T:29,00
X:0,77 | Y:8,89 | Z:4,45 | T:29,00
X:0,77 | Y:8,89 | Z:4,45 | T:29,00
X:0,77 | Y:8,89 | Z:4,45 | T:29,00
X:0,77 | Y:8,89 | Z:4,45 | T:29,00
X:0,77 | Y:8,89 | Z:4,45 | T:29,00
X:0,77 | Y:8,89 | Z:4,45 | T:29,00
X:0,77 | Y:8,89 | Z:4,45 | T:29,00
X:0,77 | Y:8,89 | Z:4,45 | T:29,00
X:0,77 | Y:8,89 | Z:4,45 | T:29,00
X:0,77 | Y:8,89 | Z:4,45 | T:29,00
X:0,77 | Y:8,89 | Z:4,45 | T:29,00

X:0,77 | Y:8,89 | Z:4,45 | T:29,00
X:0,77 | Y:8,89 | Z:4,45 | T:29,00
X:0,77 | Y:8,89 | Z:4,45 | T:29,00
X:0,77 | Y:8,89 | Z:4,45 | T:29,00
X:0,77 | Y:8,89 | Z:4,45 | T:29,00
X:0,77 | Y:8,89 | Z:4,45 | T:29,00
X:0,77 | Y:8,89 | Z:4,29 | T:29,00
X:0,61 | Y:9,04 | Z:4,29 | T:29,00
X:0,61 | Y:9,04 | Z:4,29 | T:29,00
X:0,61 | Y:9,04 | Z:4,29 | T:29,00
X:0,61 | Y:9,04 | Z:4,29 | T:29,00
X:0,61 | Y:9,04 | Z:4,29 | T:29,00
X:0,61 | Y:9,04 | Z:4,29 | T:29,00
X:0,61 | Y:9,04 | Z:4,29 | T:29,00
X:0,61 | Y:9,04 | Z:4,29 | T:29,00
X:0,61 | Y:9,04 | Z:4,29 | T:29,00
X:0,46 | Y:9,20 | Z:4,29 | T:29,00
X:0,46 | Y:9,20 | Z:4,29 | T:29,00
X:0,46 | Y:9,20 | Z:4,29 | T:29,00
X:0,46 | Y:9,20 | Z:4,29 | T:29,00
X:0,46 | Y:9,20 | Z:4,29 | T:29,00
X:0,46 | Y:9,20 | Z:4,29 | T:29,00
X:0,46 | Y:9,20 | Z:4,29 | T:29,00
X:0,46 | Y:9,20 | Z:4,29 | T:29,00
X:0,46 | Y:9,20 | Z:4,29 | T:29,00
X:0,46 | Y:9,20 | Z:4,29 | T:29,00
X:0,46 | Y:9,20 | Z:4,29 | T:29,00
X:0,46 | Y:9,20 | Z:4,29 | T:29,00
X:0,31 | Y:9,04 | Z:4,14 | T:29,00
X:0,31 | 
Y:9,04 | Z:4,14 | T:29,00
X:0,31 | Y:9,04 | Z:4,14 | T:29,00
X:0,31 | Y:9,04 | Z:4,14 | T:29,00
X:0,31 | Y:9,04 | Z:4,14 | T:29,00
X:0,31 | Y:9,04 | Z:4,14 | T:29,00
X:0,31 | Y:9,04 | Z:4,14 | T:29,00
X:0,31 | Y:9,04 | Z:4,14 | T:29,00
X:0,31 | Y:9,04 | Z:4,14 | T:29,00
X:0,31 | Y:9,04 | Z:4,14 | T:29,00
X:0,31 | Y:9,04 | Z:4,14 | T:29,00
X:0,31 | Y:9,04 | Z:4,14 | T:29,00
X:0,31 | Y:9,04 | Z:4,14 | T:29,00
X:0,31 | Y:9,04 | Z:4,14 | T:29,00
X:0,31 | Y:9,04 | Z:4,14 | T:29,00
X:0,31 | Y:9,04 | Z:4,14 | T:29,00
X:0,31 | Y:9,04 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00

X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,77 | Y:9,04 | Z:4,60 | T:29,00
X:0,77 | Y:9,04 | Z:4,60 | T:29,00
X:0,77 | Y:9,04 | Z:4,60 | T:29,00
X:0,77 | Y:9,04 | Z:4,60 | T:29,00
X:0,77 | Y:9,04 | Z:4,60 | T:29,00
X:0,77 | Y:9,04 | Z:4,60 | T:29,00
X:0,77 | Y:9,04 | Z:4,60 | T:29,00
X:0,77 | Y:9,04 | Z:4,60 | T:29,00
X:0,77 | Y:9,04 | Z:4,60 | T:29,00
X:0,77 | Y:9,04 | Z:4,60 | T:29,00
X:0,77 | Y:9,04 | Z:4,60 | T:29,00
X:0,77 | Y:9,04 | Z:4,60 | T:29,00
X:0,77 | Y:9,04 | Z:4,60 | T:29,00
X:0,77 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:8,89 | Z:4,60 | T:29,00
X:0,61 | Y:8,89 | Z:4,60 | T:29,00
X:0,61 | Y:8,89 | Z:4,60 | T:29,00
X:0,61 | Y:8,89 | Z:4,60 | T:29,00

X:0,61 | Y:8,89 | Z:4,60 | T:29,00
X:0,61 | Y:8,89 | Z:4,60 | T:29,00
X:0,61 | Y:8,89 | Z:4,60 | T:29,00
X:0,61 | Y:8,89 | Z:4,60 | T:29,00
X:0,61 | Y:8,89 | Z:4,60 | T:29,00
X:0,61 | Y:8,89 | Z:4,60 | T:29,00
X:0,61 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,74 | Z:4,14 | T:29,00
X:0,77 | Y:8,74 | Z:4,14 | T:29,00
X:0,77 | Y:8,74 | Z:4,14 | T:29,00
X:0,77 | Y:8,74 | Z:4,14 | T:29,00
X:0,77 | Y:8,74 | Z:4,14 | T:29,00
X:0,77 | Y:8,74 | Z:4,14 | T:29,00
X:0,77 | Y:8,74 | Z:4,14 | T:29,00
X:0,77 | Y:8,74 | Z:4,14 | T:29,00
X:0,77 | Y:8,74 | Z:4,14 | T:29,00
X:0,77 | Y:8,74 | Z:4,14 | T:29,00
X:0,77 | Y:8,74 | Z:4,14 | T:29,00
X:0,77 | Y:8,74 | Z:4,14 | T:29,00
X:0,77 | Y:8,74 | Z:4,14 | T:29,00
X:0,77 | Y:8,74 | Z:4,14 | T:29,00
X:0,77 | Y:8,74 | Z:4,14 | T:29,00
X:0,77 | Y:8,74 | Z:4,14 | T:29,00
X:0,77 | Y:8,74 | Z:4,14 | T:29,00

X:0,77 | Y:8,74 | Z:4,14 | T:29,00
X:0,77 | Y:8,74 | Z:4,14 | T:29,00
X:0,77 | Y:8,74 | Z:4,14 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,46 | Y:8,89 | Z:4,60 | T:29,00
X:0,46 | Y:8,89 | Z:4,60 | T:29,00
X:0,46 | Y:8,89 | Z:4,60 | T:29,00
X:0,46 | Y:8,89 | Z:4,60 | T:29,00
X:0,46 | Y:8,89 | Z:4,60 | T:29,00
X:0,46 | Y:8,89 | Z:4,60 | T:29,00
X:0,46 | Y:8,89 | Z:4,60 | T:29,00
X:0,46 | Y:8,89 | Z:4,60 | T:29,00

X:0,46 | Y:8,89 | Z:4,60 | T:29,00
X:0,46 | Y:8,89 | Z:4,60 | T:29,00
X:0,46 | Y:8,89 | Z:4,60 | T:29,00
X:0,46 | Y:8,89 | Z:4,60 | T:29,00
X:0,46 | Y:8,89 | Z:4,60 | T:29,00
X:0,46 | Y:8,89 | Z:4,60 | T:29,00
X:0,46 | Y:8,89 | Z:4,60 | T:29,00
X:0,46 | Y:8,89 | Z:4,60 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00

X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:3,83 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00

X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:9,04 | Z:4,60 | T:29,00

X:0,61 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:9,04 | Z:4,60 | T:29,00
X:0,61 | Y:8,89 | Z:4,45 | T:29,00
X:0,61 | Y:8,89 | Z:4,45 | T:29,00
X:0,61 | Y:8,89 | Z:4,45 | T:29,00
X:0,61 | Y:8,74 | Z:3,99 | T:29,00

X:0,61 | Y:8,74 | Z:3,99 | T:29,00
X:0,61 | Y:8,74 | Z:3,99 | T:29,00
X:0,61 | Y:8,74 | Z:3,99 | T:29,00
X:0,61 | Y:8,74 | Z:3,99 | T:29,00
X:0,61 | Y:8,74 | Z:3,99 | T:29,00
X:0,61 | Y:8,74 | Z:3,99 | T:29,00
X:0,61 | Y:8,74 | Z:3,99 | T:29,00
X:0,61 | Y:8,74 | Z:3,99 | T:29,00
X:0,61 | Y:8,74 | Z:3,99 | T:29,00
X:0,61 | Y:8,74 | Z:3,99 | T:29,00
X:0,61 | Y:8,74 | Z:3,99 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,60 | T:29,00
X:0,46 | Y:9,04 | Z:4,60 | T:29,00
X:0,46 | Y:9,04 | Z:4,60 | T:29,00

X:0,46 | Y:9,04 | Z:4,60 | T:29,00
X:0,46 | Y:9,04 | Z:4,60 | T:29,00
X:0,46 | Y:9,04 | Z:4,60 | T:29,00
X:0,46 | Y:9,04 | Z:4,60 | T:29,00
X:0,46 | Y:9,04 | Z:4,60 | T:29,00
X:0,46 | Y:9,04 | Z:4,60 | T:29,00
X:0,46 | Y:9,04 | Z:4,60 | T:29,00
X:0,46 | Y:9,04 | Z:4,60 | T:29,00
X:0,46 | Y:9,04 | Z:4,29 | T:29,00
X:0,46 | Y:9,04 | Z:4,29 | T:29,00
X:0,46 | Y:9,04 | Z:4,29 | T:29,00
X:0,46 | Y:9,04 | Z:4,29 | T:29,00
X:0,46 | Y:9,04 | Z:4,29 | T:29,00
X:0,46 | Y:9,04 | Z:4,29 | T:29,00
X:0,46 | Y:9,04 | Z:4,29 | T:29,00
X:0,46 | Y:9,04 | Z:4,29 | T:29,00
X:0,46 | Y:9,04 | Z:4,29 | T:29,00
X:0,46 | Y:9,04 | Z:4,29 | T:29,00
X:0,46 | Y:9,04 | Z:4,29 | T:29,00
X:0,46 | Y:9,04 | Z:4,29 | T:29,00
X:0,46 | Y:9,04 | Z:4,29 | T:29,00
X:0,46 | Y:9,04 | Z:4,29 | T:29,00
X:0,46 | Y:9,04 | Z:4,29 | T:29,00

X:0,46 | Y:9,04 | Z:4,29 | T:29,00
X:0,46 | Y:9,04 | Z:4,29 | T:29,00
X:0,46 | Y:9,04 | Z:4,29 | T:29,00
X:0,46 | Y:9,04 | Z:4,29 | T:29,00
X:0,46 | Y:9,04 | Z:4,29 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,46 | Y:8,89 | Z:4,14 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00

X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,77 | Y:8,89 | Z:4,60 | T:29,00
X:0,46 | Y:8,89 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
X:0,46 | Y:9,04 | Z:4,45 | T:29,00
